id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,chill,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,chill,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown of Static,Kevlar Kid,hip-hop,intense,0.88,95,0.72,0.85,0.12
12,Moonlight Sonata Redux,Aria Solstice,classical,dreamy,0.25,66,0.55,0.20,0.95
13,Dust on the Highway,Cotton River,country,nostalgic,0.55,100,0.62,0.55,0.68
14,Fuego en la Noche,Ritmo Solar,reggaeton,happy,0.78,96,0.75,0.90,0.18
15,Iron Requiem,Grimspire,metal,intense,0.97,168,0.22,0.45,0.04
16,Glitch Carnival,Prism Static,experimental,moody,0.70,140,0.58,0.62,0.30
17,Faded Photographs,Willow Hart,folk,nostalgic,0.30,84,0.28,0.35,0.88
18,Sunset Riot,Neon Halo,k-pop,happy,0.90,128,0.90,0.87,0.10
19,Backroad Blues,Delta Combs,blues,nostalgic,0.40,70,0.30,0.42,0.60
20,Sundown Rhythm,Kesi Wave,afrobeats,happy,0.80,112,0.86,0.89,0.20
